class_id = 299, name = font_7_P, ap = 99.70        (TP = 174, FP = 3) 
class_id = 300, name = font_7_Q, ap = 98.88        (TP = 180, FP = 1) 
class_id = 301, name = font_7_R, ap = 98.89        (TP = 209, FP = 3) 
class_id = 302, name = font_7_S, ap = 99.00        (TP = 187, FP = 8) 
class_id = 303, name = font_7_T, ap = 99.05        (TP = 551, FP = 15) 
class_id = 304, name = font_8_b, ap = 99.10        (TP = 236, FP = 4) 
class_id = 305, name = font_8_c, ap = 98.57        (TP = 233, FP = 17) 
class_id = 306, name = font_8_d, ap = 99.38        (TP = 240, FP = 7) 
class_id = 307, name = font_8_e, ap = 99.78        (TP = 260, FP = 8) 
class_id = 308, name = font_8_f, ap = 97.27        (TP = 253, FP = 7) 
class_id = 309, name = font_8_g, ap = 99.43        (TP = 249, FP = 3) 
class_id = 310, name = font_8_h, ap = 96.87        (TP = 218, FP = 18) 
class_id = 311, name = font_8_i, ap = 94.72        (TP = 207, FP = 19) 
class_id = 312, name = font_8_j, ap = 96.38        (TP = 198, FP = 10) 
class_id = 313, name = font_8_k, ap = 98.31        (TP = 376, FP = 11) 
class_id = 314, name = font_8_l, ap = 95.48        (TP = 322, FP = 20) 
class_id = 315, name = font_8_m, ap = 99.24        (TP = 183, FP = 5) 
class_id = 316, name = font_8_n, ap = 97.19        (TP = 184, FP = 30) 
class_id = 317, name = font_8_o, ap = 98.56        (TP = 171, FP = 6) 
class_id = 318, name = font_8_p, ap = 99.93        (TP = 183, FP = 5) 
class_id = 319, name = font_8_q, ap = 99.37        (TP = 198, FP = 2) 
class_id = 320, name = font_8_r, ap = 96.49        (TP = 214, FP = 6) 
class_id = 321, name = font_8_s, ap = 99.84        (TP = 185, FP = 4) 
class_id = 322, name = font_8_t, ap = 97.84        (TP = 518, FP = 19) 
class_id = 323, name = font_8_B, ap = 99.75        (TP = 236, FP = 5) 
class_id = 324, name = font_8_C, ap = 99.17        (TP = 232, FP = 11) 
class_id = 325, name = font_8_D, ap = 98.90        (TP = 244, FP = 6) 
class_id = 326, name = font_8_E, ap = 99.22        (TP = 252, FP = 4) 
class_id = 327, name = font_8_F, ap = 97.77        (TP = 251, FP = 8) 
class_id = 328, name = font_8_G, ap = 99.25        (TP = 247, FP = 4) 
class_id = 329, name = font_8_H, ap = 96.91        (TP = 248, FP = 2) 
class_id = 330, name = font_8_I, ap = 94.52        (TP = 206, FP = 7) 
class_id = 331, name = font_8_J, ap = 98.13        (TP = 214, FP = 2) 
class_id = 332, name = font_8_K, ap = 98.59        (TP = 392, FP = 0) 
class_id = 333, name = font_8_L, ap = 98.04        (TP = 325, FP = 5) 
class_id = 334, name = font_8_M, ap = 98.43        (TP = 196, FP = 4) 
class_id = 335, name = font_8_N, ap = 99.25        (TP = 188, FP = 1) 
class_id = 336, name = font_8_O, ap = 98.89        (TP = 183, FP = 10) 
class_id = 337, name = font_8_P, ap = 97.38        (TP = 172, FP = 6) 
class_id = 338, name = font_8_Q, ap = 99.41        (TP = 179, FP = 2) 
class_id = 339, name = font_8_R, ap = 99.28        (TP = 209, FP = 7) 
class_id = 340, name = font_8_S, ap = 99.19        (TP = 186, FP = 5) 
class_id = 341, name = font_8_T, ap = 98.98        (TP = 545, FP = 13) 
class_id = 342, name = font_9_b, ap = 99.38        (TP = 237, FP = 8) 
class_id = 343, name = font_9_c, ap = 98.95        (TP = 229, FP = 1) 
class_id = 344, name = font_9_d, ap = 99.58        (TP = 249, FP = 1) 
class_id = 345, name = font_9_e, ap = 99.21        (TP = 263, FP = 3) 
class_id = 346, name = font_9_f, ap = 99.88        (TP = 270, FP = 2) 
class_id = 347, name = font_9_g, ap = 99.95        (TP = 252, FP = 1) 
class_id = 348, name = font_9_h, ap = 99.97        (TP = 231, FP = 2) 
class_id = 349, name = font_9_i, ap = 98.09        (TP = 215, FP = 13) 
class_id = 350, name = font_9_j, ap = 99.54        (TP = 219, FP = 1) 
class_id = 351, name = font_9_k, ap = 99.92        (TP = 385, FP = 1) 
class_id = 352, name = font_9_l, ap = 99.14        (TP = 338, FP = 1) 
class_id = 353, name = font_9_m, ap = 99.89        (TP = 185, FP = 2) 
class_id = 354, name = font_9_n, ap = 99.42        (TP = 194, FP = 4) 
class_id = 355, name = font_9_o, ap = 98.64        (TP = 174, FP = 1) 
class_id = 356, name = font_9_p, ap = 99.85        (TP = 181, FP = 1) 
class_id = 357, name = font_9_q, ap = 99.97        (TP = 208, FP = 2) 
class_id = 358, name = font_9_r, ap = 99.07        (TP = 230, FP = 2) 
class_id = 359, name = font_9_s, ap = 99.25        (TP = 182, FP = 4) 
class_id = 360, name = font_9_t, ap = 99.76        (TP = 547, FP = 3) 
class_id = 361, name = font_9_B, ap = 99.96        (TP = 241, FP = 4) 
class_id = 362, name = font_9_C, ap = 99.89        (TP = 238, FP = 0) 
class_id = 363, name = font_9_D, ap = 99.80        (TP = 248, FP = 3) 
class_id = 364, name = font_9_E, ap = 99.96        (TP = 256, FP = 2) 
class_id = 365, name = font_9_F, ap = 99.63        (TP = 258, FP = 9) 
class_id = 366, name = font_9_G, ap = 99.98        (TP = 248, FP = 3) 
class_id = 367, name = font_9_H, ap = 99.34        (TP = 259, FP = 3) 
